"","...analysis.STAR_assembly_Gencode.TeissandierMulti.AD_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_3502Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.AG_D35Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.G_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.GIBCO_D35Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.T_3501Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.T_3502Aligned.sortedByCoord.out.bam","...analysis.STAR_assembly_Gencode.TeissandierMulti.TCLAB_D35Aligned.sortedByCoord.out.bam"
"WBP2",-0.08992093,0.1438909,0.1524343,-0.8450263,0.8439957,-0.6553569,0.2665877,0.5951804,-0.411785
"TRIM47",0.1934282,0.4799496,-0.5429117,-0.07805132,-0.792526,-0.510917,-0.7718839,1.278023,0.7448894
"TRIM65",-0.008575545,-0.3590258,-0.7789307,0.6690866,-0.2907073,0.1831123,-0.2646269,0.2325909,0.6170764
"ENSG00000267342",-0.7428046,-0.8847814,0.3641467,0.1334441,0.2340117,0.07371036,-0.3400886,0.1575096,1.004852
"MRPL38",-0.2173679,-0.08279878,-0.1748773,0.04308837,-0.2465281,0.4168853,-0.3755263,0.1025693,0.5345555
"FBF1",-0.2229196,0.1608063,-0.2762342,0.6268221,-0.4183976,0.1869083,-0.06615705,0.1327672,-0.1235954
"ACOX1",-0.1536767,-0.155694,-0.2848238,0.3019416,0.1187281,-0.04758909,-0.09257333,-0.007548054,0.3212354
"SRP68",-0.1756361,-0.1515059,-0.07846339,-0.1247756,0.1073804,-0.176134,0.03755899,0.3722178,0.1893578
"ZACN",-0.3838751,-0.7334184,0.01514335,1.160024,-0.2442155,1.21914,-0.1050119,-1.916872,0.9890859
"EXOC7",0.1866823,0.03894076,0.115627,0.1531295,0.1419692,0.02982446,0.1818035,-0.599276,-0.2487007
"FOXJ1",-0.04184253,1.357435,0.9741271,1.586871,-0.269839,-2.076749,0.8531843,-0.5145699,-1.868617
"RNF157-AS1",-0.5686452,-0.596229,-0.2594053,1.163117,-0.3265607,0.5198572,-0.326869,-0.2230668,0.6178017
"RNF157",0.05563162,-0.1642337,0.1992234,-0.3966646,0.5430765,-0.08240301,-0.2984932,-0.1538402,0.297703
"ATF4P3",-0.4041018,0.2235667,-0.1613512,-1.500485,0.6013545,0.2815888,-0.1558774,0.7006334,0.4146715
"UBALD2",-0.3151103,-0.08454784,-0.02037597,-0.2361053,0.09978253,-0.4719841,0.281148,0.5054542,0.2417387
"QRICH2",0.3306462,0.1769064,0.3273877,0.05783894,-0.4921668,0.2713422,0.2024165,-0.8797877,0.005416575
"PRPSAP1",-0.02501469,-0.02279543,0.08320461,-0.1090819,0.1060127,0.2155102,-0.1454772,-0.04400922,-0.05834908
"SPHK1",0.3449132,-0.002359908,0.2322076,1.619023,-0.5592415,0.2918226,-0.3689881,-0.7888121,-0.7685648
"UBE2O",-0.1160461,-0.01857788,0.04970151,0.06106308,-0.06595338,-0.1525729,-0.02685379,-0.002364076,0.2716035
"RPL7P49",0.1743454,0.2398843,0.2416111,-0.6557732,-0.2510604,-0.1428976,0.03157183,0.3390773,0.02324128
"RHBDF2",-0.1626866,-0.08375289,0.1538756,-0.4668961,-0.05465256,-0.3252446,-0.1675714,0.7724237,0.3345048
"CYGB",0.1744566,0.2731816,0.2377549,0.5422821,-0.1655638,-0.5823136,-0.04897765,-0.724015,0.2931948
"PRCD",-0.09212269,0.277369,-0.2437003,0.3740147,0.02470274,0.05296778,0.4079292,-0.5160572,-0.2851032
"SNHG16",-0.1117989,0.05262936,0.02840433,-0.1623555,-0.1441092,-0.04751129,-0.03925852,-0.01008114,0.4340808
"ENSG00000284526",0.6585946,-0.236465,-0.437076,-0.05515401,-0.860065,0.5329334,0.2533046,-0.852722,0.9966494
"ENSG00000267078",-0.8423399,0.1143193,-0.05729096,-0.4093062,0.3855152,-0.6785624,-0.2218062,0.9078707,0.8016005
"ENSG00000261335",0.1601831,-0.2876592,0.7899787,0.1781891,-0.5749099,-0.05801918,0.3779571,-0.6193789,0.0336593
"MXRA7",-0.384898,-0.2758598,0.3592934,-0.7068828,0.81958,-0.06022557,0.192868,-0.1363742,0.192499
"RNY4P36",-0.6836397,0.3552297,0.3471083,-0.1825822,-0.2627868,0.3055031,0.03955183,-0.08388183,0.1654976
"JMJD6",-0.5366604,-0.2592251,-0.4282406,0.001384659,0.1553386,0.2004838,-0.3168767,0.27786,0.9059358
"METTL23",-0.2209724,0.2337817,-0.01460745,0.3764838,-0.2250981,-0.2456533,0.08980769,-0.02269175,0.02894974
"SRSF2",0.3164571,0.02171594,0.2318049,0.2741159,-0.2763711,-0.1452087,-0.005102578,-0.2997444,-0.1176671
"MFSD11",-0.2107333,-0.1512132,-0.1077563,0.4972838,-0.4410077,0.4812989,-0.2820497,-0.1376536,0.3518311
"MGAT5B",0.07398174,-0.2822276,0.2309598,-0.3976303,0.7052845,-0.1902372,0.3763474,-0.4982419,-0.01823644
"SNHG20",0.09250492,-0.08873371,-0.1521828,-0.4279265,0.1297572,-0.1837698,-0.09398816,0.5364985,0.1878404
"SEC14L1",0.05581201,-0.1981658,-0.0553305,0.2263759,0.378276,-0.08172313,0.0247634,-0.4337259,0.08371804
"SEPTIN9",0.3738747,0.4665611,0.4618206,-0.3766476,0.01177019,-0.5684896,0.1997424,-0.1620592,-0.4065726
"ENSG00000266998",-0.7744544,-0.04649533,-0.5235778,0.4445037,-0.1922252,0.851118,-0.584671,0.197635,0.6281671
"ENSG00000279801",-0.4347866,0.1614773,-0.04812568,-0.1826793,-0.1123474,0.9047229,-0.1247699,0.5539427,-0.7174339
"ENSG00000267506",0.9276422,1.116993,1.037491,-0.6313628,-0.1658885,-1.872007,1.471961,-0.3289654,-1.555864
"ENSG00000285535",-0.6726332,0.3930624,-0.1798925,-0.3073078,0.6245064,0.8190349,0.2420064,-0.3341767,-0.5845998
"TNRC6C",-0.2752035,-0.4300274,-0.3308077,0.05994867,0.3401873,0.2998899,-0.1045084,0.09347451,0.3470466
"ENSG00000279600",0.1600921,-0.2370354,0.2286147,-0.3691444,0.3259513,0.8621645,-0.08193668,0.2462084,-1.134914
"TMC6",0.2957039,0.5588852,0.2517762,-0.3803961,-0.2906126,-0.2343978,-0.1243056,-0.06688167,-0.009771541
